Slice,Frame,Particles_in_Ch1,Particles_in_Ch2,Colocalized_ch1&ch2,%_Ch1_coloc_ch1&ch2,%_Ch2_coloc_ch1&ch2
1,1,26,22,0,0.000,0
2,1,19,20,1,5.263,5
3,1,20,22,0,0.000,0
4,1,20,18,0,0.000,0
5,1,17,17,0,0.000,0
6,1,18,15,0,0.000,0
7,1,18,17,0,0.000,0
8,1,20,20,0,0.000,0
9,1,19,18,0,0.000,0
10,1,18,20,0,0.000,0
11,1,18,21,0,0.000,0
12,1,18,18,0,0.000,0
13,1,22,15,0,0.000,0
14,1,22,21,0,0.000,0
15,1,19,25,0,0.000,0
16,1,18,23,0,0.000,0
17,1,21,24,0,0.000,0
18,1,19,26,0,0.000,0
19,1,18,22,0,0.000,0
20,1,19,23,0,0.000,0
